2026-03-28 21:24:39,716 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,717 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-03-28 21:24:39,718 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,720 INFO     Listening on TCP address 0.0.0.0:8000
net.ipv4.ip_forward = 1
127.0.0.1:58958 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58966 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58982 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58984 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58996 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:59006 - - [28/Mar/2026:21:25:06] "POST /api/update/" 200 34
127.0.0.1:59008 - - [28/Mar/2026:21:25:06] "POST /api/update/" 200 34
127.0.0.1:59014 - - [28/Mar/2026:21:25:06] "POST /api/update/" 200 34
127.0.0.1:55358 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55372 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55386 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55396 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55408 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55424 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55440 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55442 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55444 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55446 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55454 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55464 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55472 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55486 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55490 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
127.0.0.1:55500 - - [28/Mar/2026:21:25:07] "POST /api/update/" 200 34
